employee_id,department,job_title,annual_salary,overtime_flag,employment_status,employment_type,fte,start_date,termination_date,base_rate,age,gender,marital_status,total_working_years,years_at_company
1,Sales,Sales Executive,71916,Yes,TERMINATED,FULL_TIME,1.0,2018-01-02,2025-12-31,36.39,41,Female,Single,8,6
2,Research & Development,Research Scientist,61560,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,31.15,49,Male,Married,10,10
4,Research & Development,Laboratory Technician,25080,Yes,TERMINATED,FULL_TIME,1.0,2024-01-01,2025-12-31,12.69,37,Male,Single,7,0
5,Research & Development,Research Scientist,34908,Yes,ACTIVE,FULL_TIME,1.0,2016-01-03,,17.67,33,Female,Married,8,8
7,Research & Development,Laboratory Technician,41616,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,21.06,27,Male,Married,6,2
8,Research & Development,Laboratory Technician,36816,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,18.63,32,Male,Single,8,7
10,Research & Development,Laboratory Technician,32040,Yes,ACTIVE,FULL_TIME,1.0,2023-01-01,,16.21,59,Female,Married,12,1
11,Research & Development,Laboratory Technician,32316,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,16.35,30,Male,Divorced,1,1
12,Research & Development,Manufacturing Director,114312,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,57.85,38,Male,Single,10,9
13,Research & Development,Healthcare Representative,62844,No,ACTIVE,FULL_TIME,1.0,2017-01-02,,31.8,36,Male,Married,17,7
14,Research & Development,Laboratory Technician,29112,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,14.73,35,Male,Married,6,5
15,Research & Development,Laboratory Technician,50316,Yes,ACTIVE,FULL_TIME,1.0,2015-01-03,,25.46,29,Female,Single,10,9
16,Research & Development,Research Scientist,34932,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,17.68,31,Male,Divorced,5,5
18,Research & Development,Laboratory Technician,31932,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,16.16,34,Male,Divorced,3,2
19,Research & Development,Laboratory Technician,24336,Yes,TERMINATED,FULL_TIME,1.0,2020-01-02,2025-12-31,12.32,28,Male,Single,6,4
20,Research & Development,Manufacturing Director,119760,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,60.61,29,Female,Divorced,10,10
21,Research & Development,Research Scientist,39576,Yes,ACTIVE,FULL_TIME,1.0,2018-01-02,,20.03,32,Male,Divorced,7,6
22,Research & Development,Laboratory Technician,35220,Yes,ACTIVE,FULL_TIME,1.0,2023-01-01,,17.82,22,Male,Divorced,1,1
23,Sales,Manager,185124,No,ACTIVE,FULL_TIME,1.0,1999-01-07,,93.69,53,Female,Married,31,25
24,Research & Development,Research Scientist,47328,Yes,ACTIVE,FULL_TIME,1.0,2021-01-01,,23.95,38,Male,Single,6,3
26,Research & Development,Manufacturing Director,48132,No,ACTIVE,FULL_TIME,1.0,2020-01-02,,24.36,24,Female,Divorced,5,4
27,Sales,Sales Representative,40884,No,TERMINATED,FULL_TIME,1.0,2019-01-02,2025-12-31,20.69,36,Male,Single,10,5
28,Research & Development,Research Director,143928,No,ACTIVE,FULL_TIME,1.0,2012-01-04,,72.84,34,Female,Single,13,12
30,Research & Development,Research Scientist,14784,No,ACTIVE,FULL_TIME,1.0,2024-01-01,,7.48,21,Male,Single,0,0
31,Research & Development,Research Scientist,35520,No,TERMINATED,FULL_TIME,1.0,2020-01-02,2025-12-31,17.98,34,Male,Single,8,4
32,Research & Development,Manager,229128,No,ACTIVE,FULL_TIME,1.0,2010-01-04,,115.96,53,Female,Divorced,26,14
33,Research & Development,Research Scientist,47028,Yes,TERMINATED,FULL_TIME,1.0,2014-01-03,2025-12-31,23.8,32,Female,Single,10,10
35,Sales,Sales Executive,81900,No,ACTIVE,FULL_TIME,1.0,2015-01-03,,41.45,42,Male,Married,10,9
36,Research & Development,Healthcare Representative,122976,No,ACTIVE,FULL_TIME,1.0,2002-01-06,,62.23,44,Female,Married,24,22
38,Sales,Manager,227364,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,115.06,46,Female,Single,22,2
39,Research & Development,Laboratory Technician,29952,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,15.16,33,Male,Single,7,1
40,Research & Development,Healthcare Representative,77580,Yes,ACTIVE,FULL_TIME,1.0,2020-01-02,,39.26,44,Male,Married,9,4
41,Research & Development,Laboratory Technician,26472,No,ACTIVE,FULL_TIME,1.0,2014-01-03,,13.4,30,Male,Single,10,10
42,Sales,Sales Representative,25032,No,TERMINATED,FULL_TIME,1.0,2023-01-01,2025-12-31,12.67,39,Male,Married,19,1
45,Research & Development,Research Scientist,27516,Yes,TERMINATED,FULL_TIME,1.0,2022-01-01,2025-12-31,13.93,24,Male,Married,6,2
46,Research & Development,Research Scientist,31740,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,16.06,43,Female,Divorced,6,5
47,Sales,Sales Representative,32196,Yes,TERMINATED,FULL_TIME,1.0,2021-01-01,2025-12-31,16.29,50,Male,Married,3,3
49,Sales,Sales Representative,24168,No,ACTIVE,FULL_TIME,1.0,2022-01-01,,12.23,35,Female,Married,2,2
51,Research & Development,Research Scientist,41028,Yes,ACTIVE,FULL_TIME,1.0,2023-01-01,,20.76,36,Female,Married,6,1
52,Sales,Sales Executive,64512,No,ACTIVE,FULL_TIME,1.0,2019-01-02,,32.65,33,Female,Married,10,5
53,Research & Development,Laboratory Technician,23412,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,11.85,35,Male,Divorced,1,1
54,Research & Development,Laboratory Technician,28092,No,ACTIVE,FULL_TIME,1.0,2023-01-01,,14.22,27,Female,Divorced,1,1
