employee_id,pay_date,pay_period_start,pay_period_end,earning_code,earning_description,is_final_pay,units,rate,amount,gross_earnings
1,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,36.39,2766.0,2766.0
2,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.15,2367.69,2367.69
4,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.69,964.62,964.62
5,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.67,1342.62,1342.62
7,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,21.06,1600.62,1600.62
8,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,18.63,1416.0,1416.0
10,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.21,1232.31,1232.31
11,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.35,1242.92,1242.92
12,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,57.85,4396.62,4396.62
13,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,31.8,2417.08,2417.08
14,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,14.73,1119.69,1119.69
15,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,25.46,1935.23,1935.23
16,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.68,1343.54,1343.54
18,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,16.16,1228.15,1228.15
19,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,12.32,936.0,936.0
20,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,60.61,4606.15,4606.15
21,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.03,1522.15,1522.15
22,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.82,1354.62,1354.62
23,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,93.69,7120.15,7120.15
24,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,23.95,1820.31,1820.31
26,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,24.36,1851.23,1851.23
27,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,20.69,1572.46,1572.46
28,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,72.84,5535.69,5535.69
30,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,7.48,568.62,568.62
31,2026-03-15,2026-03-02,2026-03-15,BASE,Base Pay,N,76.0,17.98,1366.15,1366.15
