employee_id,termination_date,termination_type,termination_reason,evidence_ref
1,2026-02-01,RESIGNATION,VOLUNTARY,TERM-0001
4,2026-02-02,REDUNDANCY,ROLE_CEASED,TERM-0002
19,2026-02-03,DISMISSAL,PERFORMANCE,TERM-0003
27,2026-02-04,RESIGNATION,VOLUNTARY,TERM-0004
31,2026-02-05,REDUNDANCY,ROLE_CEASED,TERM-0005
33,2026-02-06,DISMISSAL,PERFORMANCE,TERM-0006
42,2026-02-07,RESIGNATION,VOLUNTARY,TERM-0007
45,2026-02-08,REDUNDANCY,ROLE_CEASED,TERM-0008
47,2026-02-09,DISMISSAL,PERFORMANCE,TERM-0009
55,2026-02-10,RESIGNATION,VOLUNTARY,TERM-0010
58,2026-02-11,REDUNDANCY,ROLE_CEASED,TERM-0011
64,2026-02-12,DISMISSAL,PERFORMANCE,TERM-0012
65,2026-02-13,RESIGNATION,VOLUNTARY,TERM-0013
90,2026-02-14,REDUNDANCY,ROLE_CEASED,TERM-0014
118,2026-02-15,DISMISSAL,PERFORMANCE,TERM-0015
133,2026-02-16,RESIGNATION,VOLUNTARY,TERM-0016
137,2026-02-17,REDUNDANCY,ROLE_CEASED,TERM-0017
142,2026-02-18,DISMISSAL,PERFORMANCE,TERM-0018
147,2026-02-19,RESIGNATION,VOLUNTARY,TERM-0019
161,2026-02-20,REDUNDANCY,ROLE_CEASED,TERM-0020
163,2026-02-21,DISMISSAL,PERFORMANCE,TERM-0021
165,2026-02-22,RESIGNATION,VOLUNTARY,TERM-0022
167,2026-02-23,REDUNDANCY,ROLE_CEASED,TERM-0023
175,2026-02-24,DISMISSAL,PERFORMANCE,TERM-0024
179,2026-02-25,RESIGNATION,VOLUNTARY,TERM-0025
190,2026-02-26,REDUNDANCY,ROLE_CEASED,TERM-0026
235,2026-02-27,DISMISSAL,PERFORMANCE,TERM-0027
243,2026-02-28,RESIGNATION,VOLUNTARY,TERM-0028
248,2026-03-01,REDUNDANCY,ROLE_CEASED,TERM-0029
261,2026-03-02,DISMISSAL,PERFORMANCE,TERM-0030
282,2026-03-03,RESIGNATION,VOLUNTARY,TERM-0031
283,2026-03-04,REDUNDANCY,ROLE_CEASED,TERM-0032
