employee_id,work_date,hours_worked,timesheet_status
1,2024-03-01,7.6,submitted
1,2024-03-02,7.6,submitted
1,2024-03-03,7.6,submitted
1,2024-03-04,7.6,submitted
1,2024-03-05,7.6,submitted
1,2024-03-06,7.6,submitted
1,2024-03-07,7.6,submitted
1,2024-03-08,7.6,submitted
1,2024-03-09,7.6,submitted
1,2024-03-10,7.6,submitted
2,2024-03-01,7.6,submitted
2,2024-03-02,7.6,submitted
2,2024-03-03,7.6,submitted
2,2024-03-04,7.6,submitted
2,2024-03-05,7.6,submitted
2,2024-03-06,7.6,submitted
2,2024-03-07,7.6,submitted
2,2024-03-08,7.6,submitted
2,2024-03-09,7.6,submitted
2,2024-03-10,7.6,submitted
4,2024-03-01,7.6,submitted
4,2024-03-02,7.6,submitted
4,2024-03-03,7.6,submitted
4,2024-03-04,7.6,submitted
4,2024-03-05,7.6,submitted
4,2024-03-06,7.6,submitted
4,2024-03-07,7.6,submitted
4,2024-03-08,7.6,submitted
4,2024-03-09,7.6,submitted
4,2024-03-10,7.6,submitted
5,2024-03-01,7.6,submitted
5,2024-03-02,7.6,submitted
5,2024-03-03,7.6,submitted
5,2024-03-04,7.6,submitted
5,2024-03-05,7.6,submitted
5,2024-03-06,7.6,submitted
5,2024-03-07,7.6,submitted
5,2024-03-08,7.6,submitted
5,2024-03-09,7.6,submitted
5,2024-03-10,7.6,submitted
7,2024-03-01,7.6,submitted
7,2024-03-02,7.6,submitted
7,2024-03-03,7.6,submitted
7,2024-03-04,7.6,submitted
7,2024-03-05,7.6,submitted
7,2024-03-06,7.6,submitted
7,2024-03-07,7.6,submitted
7,2024-03-08,7.6,submitted
7,2024-03-09,7.6,submitted
7,2024-03-10,7.6,submitted
8,2024-03-01,7.6,submitted
8,2024-03-02,7.6,submitted
8,2024-03-03,7.6,submitted
8,2024-03-04,7.6,submitted
8,2024-03-05,7.6,submitted
8,2024-03-06,7.6,submitted
8,2024-03-07,7.6,submitted
8,2024-03-08,7.6,submitted
8,2024-03-09,7.6,submitted
8,2024-03-10,7.6,submitted
10,2024-03-01,7.6,submitted
10,2024-03-02,7.6,submitted
10,2024-03-03,7.6,submitted
10,2024-03-04,7.6,submitted
10,2024-03-05,7.6,submitted
10,2024-03-06,7.6,submitted
10,2024-03-07,7.6,submitted
10,2024-03-08,7.6,submitted
10,2024-03-09,7.6,submitted
10,2024-03-10,7.6,submitted
11,2024-03-01,7.6,submitted
11,2024-03-02,7.6,submitted
11,2024-03-03,7.6,submitted
11,2024-03-04,7.6,submitted
11,2024-03-05,7.6,submitted
11,2024-03-06,7.6,submitted
11,2024-03-07,7.6,submitted
11,2024-03-08,7.6,submitted
11,2024-03-09,7.6,submitted
11,2024-03-10,7.6,submitted
12,2024-03-01,7.6,submitted
12,2024-03-02,7.6,submitted
12,2024-03-03,7.6,submitted
12,2024-03-04,7.6,submitted
12,2024-03-05,7.6,submitted
12,2024-03-06,7.6,submitted
12,2024-03-07,7.6,submitted
12,2024-03-08,7.6,submitted
12,2024-03-09,7.6,submitted
12,2024-03-10,7.6,submitted
13,2024-03-01,7.6,submitted
13,2024-03-02,7.6,submitted
13,2024-03-03,7.6,submitted
13,2024-03-04,7.6,submitted
13,2024-03-05,7.6,submitted
13,2024-03-06,7.6,submitted
13,2024-03-07,7.6,submitted
13,2024-03-08,7.6,submitted
13,2024-03-09,7.6,submitted
13,2024-03-10,7.6,submitted
14,2024-03-01,7.6,submitted
14,2024-03-02,7.6,submitted
14,2024-03-03,7.6,submitted
14,2024-03-04,7.6,submitted
14,2024-03-05,7.6,submitted
14,2024-03-06,7.6,submitted
14,2024-03-07,7.6,submitted
14,2024-03-08,7.6,submitted
14,2024-03-09,7.6,submitted
14,2024-03-10,7.6,submitted
15,2024-03-01,7.6,submitted
15,2024-03-02,7.6,submitted
15,2024-03-03,7.6,submitted
15,2024-03-04,7.6,submitted
15,2024-03-05,7.6,submitted
15,2024-03-06,7.6,submitted
15,2024-03-07,7.6,submitted
15,2024-03-08,7.6,submitted
15,2024-03-09,7.6,submitted
15,2024-03-10,7.6,submitted
16,2024-03-01,7.6,submitted
16,2024-03-02,7.6,submitted
16,2024-03-03,7.6,submitted
16,2024-03-04,7.6,submitted
16,2024-03-05,7.6,submitted
16,2024-03-06,7.6,submitted
16,2024-03-07,7.6,submitted
16,2024-03-08,7.6,submitted
16,2024-03-09,7.6,submitted
16,2024-03-10,7.6,submitted
18,2024-03-01,7.6,submitted
18,2024-03-02,7.6,submitted
18,2024-03-03,7.6,submitted
18,2024-03-04,7.6,submitted
18,2024-03-05,7.6,submitted
18,2024-03-06,7.6,submitted
18,2024-03-07,7.6,submitted
18,2024-03-08,7.6,submitted
18,2024-03-09,7.6,submitted
18,2024-03-10,7.6,submitted
19,2024-03-01,7.6,submitted
19,2024-03-02,7.6,submitted
19,2024-03-03,7.6,submitted
19,2024-03-04,7.6,submitted
19,2024-03-05,7.6,submitted
19,2024-03-06,7.6,submitted
19,2024-03-07,7.6,submitted
19,2024-03-08,7.6,submitted
19,2024-03-09,7.6,submitted
19,2024-03-10,7.6,submitted
20,2024-03-01,7.6,submitted
20,2024-03-02,7.6,submitted
20,2024-03-03,7.6,submitted
20,2024-03-04,7.6,submitted
20,2024-03-05,7.6,submitted
20,2024-03-06,7.6,submitted
20,2024-03-07,7.6,submitted
20,2024-03-08,7.6,submitted
20,2024-03-09,7.6,submitted
20,2024-03-10,7.6,submitted
21,2024-03-01,7.6,submitted
21,2024-03-02,7.6,submitted
21,2024-03-03,7.6,submitted
21,2024-03-04,7.6,submitted
21,2024-03-05,7.6,submitted
21,2024-03-06,7.6,submitted
21,2024-03-07,7.6,submitted
21,2024-03-08,7.6,submitted
21,2024-03-09,7.6,submitted
21,2024-03-10,7.6,submitted
22,2024-03-01,7.6,submitted
22,2024-03-02,7.6,submitted
22,2024-03-03,7.6,submitted
22,2024-03-04,7.6,submitted
22,2024-03-05,7.6,submitted
22,2024-03-06,7.6,submitted
22,2024-03-07,7.6,submitted
22,2024-03-08,7.6,submitted
22,2024-03-09,7.6,submitted
22,2024-03-10,7.6,submitted
23,2024-03-01,7.6,submitted
23,2024-03-02,7.6,submitted
23,2024-03-03,7.6,submitted
23,2024-03-04,7.6,submitted
23,2024-03-05,7.6,submitted
23,2024-03-06,7.6,submitted
23,2024-03-07,7.6,submitted
23,2024-03-08,7.6,submitted
23,2024-03-09,7.6,submitted
23,2024-03-10,7.6,submitted
24,2024-03-01,7.6,submitted
24,2024-03-02,7.6,submitted
24,2024-03-03,7.6,submitted
24,2024-03-04,7.6,submitted
24,2024-03-05,7.6,submitted
24,2024-03-06,7.6,submitted
24,2024-03-07,7.6,submitted
24,2024-03-08,7.6,submitted
24,2024-03-09,7.6,submitted
24,2024-03-10,7.6,submitted
26,2024-03-01,7.6,submitted
26,2024-03-02,7.6,submitted
26,2024-03-03,7.6,submitted
26,2024-03-04,7.6,submitted
26,2024-03-05,7.6,submitted
26,2024-03-06,7.6,submitted
26,2024-03-07,7.6,submitted
26,2024-03-08,7.6,submitted
26,2024-03-09,7.6,submitted
26,2024-03-10,7.6,submitted
27,2024-03-01,7.6,submitted
27,2024-03-02,7.6,submitted
27,2024-03-03,7.6,submitted
27,2024-03-04,7.6,submitted
27,2024-03-05,7.6,submitted
27,2024-03-06,7.6,submitted
27,2024-03-07,7.6,submitted
27,2024-03-08,7.6,submitted
27,2024-03-09,7.6,submitted
27,2024-03-10,7.6,submitted
28,2024-03-01,7.6,submitted
28,2024-03-02,7.6,submitted
28,2024-03-03,7.6,submitted
28,2024-03-04,7.6,submitted
28,2024-03-05,7.6,submitted
28,2024-03-06,7.6,submitted
28,2024-03-07,7.6,submitted
28,2024-03-08,7.6,submitted
28,2024-03-09,7.6,submitted
28,2024-03-10,7.6,submitted
30,2024-03-01,7.6,submitted
30,2024-03-02,7.6,submitted
30,2024-03-03,7.6,submitted
30,2024-03-04,7.6,submitted
30,2024-03-05,7.6,submitted
30,2024-03-06,7.6,submitted
30,2024-03-07,7.6,submitted
30,2024-03-08,7.6,submitted
30,2024-03-09,7.6,submitted
30,2024-03-10,7.6,submitted
31,2024-03-01,7.6,submitted
31,2024-03-02,7.6,submitted
31,2024-03-03,7.6,submitted
31,2024-03-04,7.6,submitted
31,2024-03-05,7.6,submitted
31,2024-03-06,7.6,submitted
31,2024-03-07,7.6,submitted
31,2024-03-08,7.6,submitted
31,2024-03-09,7.6,submitted
31,2024-03-10,7.6,submitted
32,2024-03-01,7.6,submitted
32,2024-03-02,7.6,submitted
32,2024-03-03,7.6,submitted
32,2024-03-04,7.6,submitted
32,2024-03-05,7.6,submitted
32,2024-03-06,7.6,submitted
32,2024-03-07,7.6,submitted
32,2024-03-08,7.6,submitted
32,2024-03-09,7.6,submitted
32,2024-03-10,7.6,submitted
33,2024-03-01,7.6,submitted
33,2024-03-02,7.6,submitted
33,2024-03-03,7.6,submitted
33,2024-03-04,7.6,submitted
33,2024-03-05,7.6,submitted
33,2024-03-06,7.6,submitted
33,2024-03-07,7.6,submitted
33,2024-03-08,7.6,submitted
33,2024-03-09,7.6,submitted
33,2024-03-10,7.6,submitted
35,2024-03-01,7.6,submitted
35,2024-03-02,7.6,submitted
35,2024-03-03,7.6,submitted
35,2024-03-04,7.6,submitted
35,2024-03-05,7.6,submitted
35,2024-03-06,7.6,submitted
35,2024-03-07,7.6,submitted
35,2024-03-08,7.6,submitted
35,2024-03-09,7.6,submitted
35,2024-03-10,7.6,submitted
36,2024-03-01,7.6,submitted
36,2024-03-02,7.6,submitted
36,2024-03-03,7.6,submitted
36,2024-03-04,7.6,submitted
36,2024-03-05,7.6,submitted
36,2024-03-06,7.6,submitted
36,2024-03-07,7.6,submitted
36,2024-03-08,7.6,submitted
36,2024-03-09,7.6,submitted
36,2024-03-10,7.6,submitted
38,2024-03-01,7.6,submitted
38,2024-03-02,7.6,submitted
38,2024-03-03,7.6,submitted
38,2024-03-04,7.6,submitted
38,2024-03-05,7.6,submitted
38,2024-03-06,7.6,submitted
38,2024-03-07,7.6,submitted
38,2024-03-08,7.6,submitted
38,2024-03-09,7.6,submitted
38,2024-03-10,7.6,submitted
39,2024-03-01,7.6,submitted
39,2024-03-02,7.6,submitted
39,2024-03-03,7.6,submitted
39,2024-03-04,7.6,submitted
39,2024-03-05,7.6,submitted
39,2024-03-06,7.6,submitted
39,2024-03-07,7.6,submitted
39,2024-03-08,7.6,submitted
39,2024-03-09,7.6,submitted
39,2024-03-10,7.6,submitted
40,2024-03-01,7.6,submitted
40,2024-03-02,7.6,submitted
40,2024-03-03,7.6,submitted
40,2024-03-04,7.6,submitted
40,2024-03-05,7.6,submitted
40,2024-03-06,7.6,submitted
40,2024-03-07,7.6,submitted
40,2024-03-08,7.6,submitted
40,2024-03-09,7.6,submitted
40,2024-03-10,7.6,submitted
41,2024-03-01,7.6,submitted
41,2024-03-02,7.6,submitted
41,2024-03-03,7.6,submitted
41,2024-03-04,7.6,submitted
41,2024-03-05,7.6,submitted
41,2024-03-06,7.6,submitted
41,2024-03-07,7.6,submitted
41,2024-03-08,7.6,submitted
41,2024-03-09,7.6,submitted
41,2024-03-10,7.6,submitted
42,2024-03-01,7.6,submitted
42,2024-03-02,7.6,submitted
42,2024-03-03,7.6,submitted
42,2024-03-04,7.6,submitted
42,2024-03-05,7.6,submitted
42,2024-03-06,7.6,submitted
42,2024-03-07,7.6,submitted
42,2024-03-08,7.6,submitted
42,2024-03-09,7.6,submitted
42,2024-03-10,7.6,submitted
45,2024-03-01,7.6,submitted
45,2024-03-02,7.6,submitted
45,2024-03-03,7.6,submitted
45,2024-03-04,7.6,submitted
45,2024-03-05,7.6,submitted
45,2024-03-06,7.6,submitted
45,2024-03-07,7.6,submitted
45,2024-03-08,7.6,submitted
45,2024-03-09,7.6,submitted
45,2024-03-10,7.6,submitted
46,2024-03-01,7.6,submitted
46,2024-03-02,7.6,submitted
46,2024-03-03,7.6,submitted
46,2024-03-04,7.6,submitted
46,2024-03-05,7.6,submitted
46,2024-03-06,7.6,submitted
46,2024-03-07,7.6,submitted
46,2024-03-08,7.6,submitted
46,2024-03-09,7.6,submitted
46,2024-03-10,7.6,submitted
47,2024-03-01,7.6,submitted
47,2024-03-02,7.6,submitted
47,2024-03-03,7.6,submitted
47,2024-03-04,7.6,submitted
47,2024-03-05,7.6,submitted
47,2024-03-06,7.6,submitted
47,2024-03-07,7.6,submitted
47,2024-03-08,7.6,submitted
47,2024-03-09,7.6,submitted
47,2024-03-10,7.6,submitted
49,2024-03-01,7.6,submitted
49,2024-03-02,7.6,submitted
49,2024-03-03,7.6,submitted
49,2024-03-04,7.6,submitted
49,2024-03-05,7.6,submitted
49,2024-03-06,7.6,submitted
49,2024-03-07,7.6,submitted
49,2024-03-08,7.6,submitted
49,2024-03-09,7.6,submitted
49,2024-03-10,7.6,submitted
51,2024-03-01,7.6,submitted
51,2024-03-02,7.6,submitted
51,2024-03-03,7.6,submitted
51,2024-03-04,7.6,submitted
51,2024-03-05,7.6,submitted
51,2024-03-06,7.6,submitted
51,2024-03-07,7.6,submitted
51,2024-03-08,7.6,submitted
51,2024-03-09,7.6,submitted
51,2024-03-10,7.6,submitted
52,2024-03-01,7.6,submitted
52,2024-03-02,7.6,submitted
52,2024-03-03,7.6,submitted
52,2024-03-04,7.6,submitted
52,2024-03-05,7.6,submitted
52,2024-03-06,7.6,submitted
52,2024-03-07,7.6,submitted
52,2024-03-08,7.6,submitted
52,2024-03-09,7.6,submitted
52,2024-03-10,7.6,submitted
53,2024-03-01,7.6,submitted
53,2024-03-02,7.6,submitted
53,2024-03-03,7.6,submitted
53,2024-03-04,7.6,submitted
53,2024-03-05,7.6,submitted
53,2024-03-06,7.6,submitted
53,2024-03-07,7.6,submitted
53,2024-03-08,7.6,submitted
53,2024-03-09,7.6,submitted
53,2024-03-10,7.6,submitted
54,2024-03-01,7.6,submitted
54,2024-03-02,7.6,submitted
54,2024-03-03,7.6,submitted
54,2024-03-04,7.6,submitted
54,2024-03-05,7.6,submitted
54,2024-03-06,7.6,submitted
54,2024-03-07,7.6,submitted
54,2024-03-08,7.6,submitted
54,2024-03-09,7.6,submitted
54,2024-03-10,7.6,submitted
55,2024-03-01,7.6,submitted
55,2024-03-02,7.6,submitted
55,2024-03-03,7.6,submitted
55,2024-03-04,7.6,submitted
55,2024-03-05,7.6,submitted
55,2024-03-06,7.6,submitted
55,2024-03-07,7.6,submitted
55,2024-03-08,7.6,submitted
55,2024-03-09,7.6,submitted
55,2024-03-10,7.6,submitted
56,2024-03-01,7.6,submitted
56,2024-03-02,7.6,submitted
56,2024-03-03,7.6,submitted
56,2024-03-04,7.6,submitted
56,2024-03-05,7.6,submitted
56,2024-03-06,7.6,submitted
56,2024-03-07,7.6,submitted
56,2024-03-08,7.6,submitted
56,2024-03-09,7.6,submitted
56,2024-03-10,7.6,submitted
57,2024-03-01,7.6,submitted
57,2024-03-02,7.6,submitted
57,2024-03-03,7.6,submitted
57,2024-03-04,7.6,submitted
57,2024-03-05,7.6,submitted
57,2024-03-06,7.6,submitted
57,2024-03-07,7.6,submitted
57,2024-03-08,7.6,submitted
57,2024-03-09,7.6,submitted
57,2024-03-10,7.6,submitted
58,2024-03-01,7.6,submitted
58,2024-03-02,7.6,submitted
58,2024-03-03,7.6,submitted
58,2024-03-04,7.6,submitted
58,2024-03-05,7.6,submitted
58,2024-03-06,7.6,submitted
58,2024-03-07,7.6,submitted
58,2024-03-08,7.6,submitted
58,2024-03-09,7.6,submitted
58,2024-03-10,7.6,submitted
60,2024-03-01,7.6,submitted
60,2024-03-02,7.6,submitted
60,2024-03-03,7.6,submitted
60,2024-03-04,7.6,submitted
60,2024-03-05,7.6,submitted
60,2024-03-06,7.6,submitted
60,2024-03-07,7.6,submitted
60,2024-03-08,7.6,submitted
60,2024-03-09,7.6,submitted
60,2024-03-10,7.6,submitted
61,2024-03-01,7.6,submitted
61,2024-03-02,7.6,submitted
61,2024-03-03,7.6,submitted
61,2024-03-04,7.6,submitted
61,2024-03-05,7.6,submitted
61,2024-03-06,7.6,submitted
61,2024-03-07,7.6,submitted
61,2024-03-08,7.6,submitted
61,2024-03-09,7.6,submitted
61,2024-03-10,7.6,submitted
62,2024-03-01,7.6,submitted
62,2024-03-02,7.6,submitted
62,2024-03-03,7.6,submitted
62,2024-03-04,7.6,submitted
62,2024-03-05,7.6,submitted
62,2024-03-06,7.6,submitted
62,2024-03-07,7.6,submitted
62,2024-03-08,7.6,submitted
62,2024-03-09,7.6,submitted
62,2024-03-10,7.6,submitted
63,2024-03-01,7.6,submitted
63,2024-03-02,7.6,submitted
63,2024-03-03,7.6,submitted
63,2024-03-04,7.6,submitted
63,2024-03-05,7.6,submitted
63,2024-03-06,7.6,submitted
63,2024-03-07,7.6,submitted
63,2024-03-08,7.6,submitted
63,2024-03-09,7.6,submitted
63,2024-03-10,7.6,submitted
64,2024-03-01,7.6,submitted
64,2024-03-02,7.6,submitted
64,2024-03-03,7.6,submitted
64,2024-03-04,7.6,submitted
64,2024-03-05,7.6,submitted
64,2024-03-06,7.6,submitted
64,2024-03-07,7.6,submitted
64,2024-03-08,7.6,submitted
64,2024-03-09,7.6,submitted
64,2024-03-10,7.6,submitted
65,2024-03-01,7.6,submitted
65,2024-03-02,7.6,submitted
65,2024-03-03,7.6,submitted
65,2024-03-04,7.6,submitted
65,2024-03-05,7.6,submitted
65,2024-03-06,7.6,submitted
65,2024-03-07,7.6,submitted
65,2024-03-08,7.6,submitted
65,2024-03-09,7.6,submitted
65,2024-03-10,7.6,submitted
68,2024-03-01,7.6,submitted
68,2024-03-02,7.6,submitted
68,2024-03-03,7.6,submitted
68,2024-03-04,7.6,submitted
68,2024-03-05,7.6,submitted
68,2024-03-06,7.6,submitted
68,2024-03-07,7.6,submitted
68,2024-03-08,7.6,submitted
68,2024-03-09,7.6,submitted
68,2024-03-10,7.6,submitted
70,2024-03-01,7.6,submitted
70,2024-03-02,7.6,submitted
70,2024-03-03,7.6,submitted
70,2024-03-04,7.6,submitted
70,2024-03-05,7.6,submitted
70,2024-03-06,7.6,submitted
70,2024-03-07,7.6,submitted
70,2024-03-08,7.6,submitted
70,2024-03-09,7.6,submitted
70,2024-03-10,7.6,submitted
72,2024-03-01,7.6,submitted
72,2024-03-02,7.6,submitted
72,2024-03-03,7.6,submitted
72,2024-03-04,7.6,submitted
72,2024-03-05,7.6,submitted
72,2024-03-06,7.6,submitted
72,2024-03-07,7.6,submitted
72,2024-03-08,7.6,submitted
72,2024-03-09,7.6,submitted
72,2024-03-10,7.6,submitted
73,2024-03-01,7.6,submitted
73,2024-03-02,7.6,submitted
73,2024-03-03,7.6,submitted
73,2024-03-04,7.6,submitted
73,2024-03-05,7.6,submitted
73,2024-03-06,7.6,submitted
73,2024-03-07,7.6,submitted
73,2024-03-08,7.6,submitted
73,2024-03-09,7.6,submitted
73,2024-03-10,7.6,submitted
74,2024-03-01,7.6,submitted
74,2024-03-02,7.6,submitted
74,2024-03-03,7.6,submitted
74,2024-03-04,7.6,submitted
74,2024-03-05,7.6,submitted
74,2024-03-06,7.6,submitted
74,2024-03-07,7.6,submitted
74,2024-03-08,7.6,submitted
74,2024-03-09,7.6,submitted
74,2024-03-10,7.6,submitted
75,2024-03-01,7.6,submitted
75,2024-03-02,7.6,submitted
75,2024-03-03,7.6,submitted
75,2024-03-04,7.6,submitted
75,2024-03-05,7.6,submitted
75,2024-03-06,7.6,submitted
75,2024-03-07,7.6,submitted
75,2024-03-08,7.6,submitted
75,2024-03-09,7.6,submitted
75,2024-03-10,7.6,submitted
76,2024-03-01,7.6,submitted
76,2024-03-02,7.6,submitted
76,2024-03-03,7.6,submitted
76,2024-03-04,7.6,submitted
76,2024-03-05,7.6,submitted
76,2024-03-06,7.6,submitted
76,2024-03-07,7.6,submitted
76,2024-03-08,7.6,submitted
76,2024-03-09,7.6,submitted
76,2024-03-10,7.6,submitted
77,2024-03-01,7.6,submitted
77,2024-03-02,7.6,submitted
77,2024-03-03,7.6,submitted
77,2024-03-04,7.6,submitted
77,2024-03-05,7.6,submitted
77,2024-03-06,7.6,submitted
77,2024-03-07,7.6,submitted
77,2024-03-08,7.6,submitted
77,2024-03-09,7.6,submitted
77,2024-03-10,7.6,submitted
78,2024-03-01,7.6,submitted
78,2024-03-02,7.6,submitted
78,2024-03-03,7.6,submitted
78,2024-03-04,7.6,submitted
78,2024-03-05,7.6,submitted
78,2024-03-06,7.6,submitted
78,2024-03-07,7.6,submitted
78,2024-03-08,7.6,submitted
78,2024-03-09,7.6,submitted
78,2024-03-10,7.6,submitted
79,2024-03-01,7.6,submitted
79,2024-03-02,7.6,submitted
79,2024-03-03,7.6,submitted
79,2024-03-04,7.6,submitted
79,2024-03-05,7.6,submitted
79,2024-03-06,7.6,submitted
79,2024-03-07,7.6,submitted
79,2024-03-08,7.6,submitted
79,2024-03-09,7.6,submitted
79,2024-03-10,7.6,submitted
80,2024-03-01,7.6,submitted
80,2024-03-02,7.6,submitted
80,2024-03-03,7.6,submitted
80,2024-03-04,7.6,submitted
80,2024-03-05,7.6,submitted
80,2024-03-06,7.6,submitted
80,2024-03-07,7.6,submitted
80,2024-03-08,7.6,submitted
80,2024-03-09,7.6,submitted
80,2024-03-10,7.6,submitted
81,2024-03-01,7.6,submitted
81,2024-03-02,7.6,submitted
81,2024-03-03,7.6,submitted
81,2024-03-04,7.6,submitted
81,2024-03-05,7.6,submitted
81,2024-03-06,7.6,submitted
81,2024-03-07,7.6,submitted
81,2024-03-08,7.6,submitted
81,2024-03-09,7.6,submitted
81,2024-03-10,7.6,submitted
83,2024-03-01,7.6,submitted
83,2024-03-02,7.6,submitted
83,2024-03-03,7.6,submitted
83,2024-03-04,7.6,submitted
83,2024-03-05,7.6,submitted
83,2024-03-06,7.6,submitted
83,2024-03-07,7.6,submitted
83,2024-03-08,7.6,submitted
83,2024-03-09,7.6,submitted
83,2024-03-10,7.6,submitted
84,2024-03-01,7.6,submitted
84,2024-03-02,7.6,submitted
84,2024-03-03,7.6,submitted
84,2024-03-04,7.6,submitted
84,2024-03-05,7.6,submitted
84,2024-03-06,7.6,submitted
84,2024-03-07,7.6,submitted
84,2024-03-08,7.6,submitted
84,2024-03-09,7.6,submitted
84,2024-03-10,7.6,submitted
85,2024-03-01,7.6,submitted
85,2024-03-02,7.6,submitted
85,2024-03-03,7.6,submitted
85,2024-03-04,7.6,submitted
85,2024-03-05,7.6,submitted
85,2024-03-06,7.6,submitted
85,2024-03-07,7.6,submitted
85,2024-03-08,7.6,submitted
85,2024-03-09,7.6,submitted
85,2024-03-10,7.6,submitted
86,2024-03-01,7.6,submitted
86,2024-03-02,7.6,submitted
86,2024-03-03,7.6,submitted
86,2024-03-04,7.6,submitted
86,2024-03-05,7.6,submitted
86,2024-03-06,7.6,submitted
86,2024-03-07,7.6,submitted
86,2024-03-08,7.6,submitted
86,2024-03-09,7.6,submitted
86,2024-03-10,7.6,submitted
88,2024-03-01,7.6,submitted
88,2024-03-02,7.6,submitted
88,2024-03-03,7.6,submitted
88,2024-03-04,7.6,submitted
88,2024-03-05,7.6,submitted
88,2024-03-06,7.6,submitted
88,2024-03-07,7.6,submitted
88,2024-03-08,7.6,submitted
88,2024-03-09,7.6,submitted
88,2024-03-10,7.6,submitted
90,2024-03-01,7.6,submitted
90,2024-03-02,7.6,submitted
90,2024-03-03,7.6,submitted
90,2024-03-04,7.6,submitted
90,2024-03-05,7.6,submitted
90,2024-03-06,7.6,submitted
90,2024-03-07,7.6,submitted
90,2024-03-08,7.6,submitted
90,2024-03-09,7.6,submitted
90,2024-03-10,7.6,submitted
91,2024-03-01,7.6,submitted
91,2024-03-02,7.6,submitted
91,2024-03-03,7.6,submitted
91,2024-03-04,7.6,submitted
91,2024-03-05,7.6,submitted
91,2024-03-06,7.6,submitted
91,2024-03-07,7.6,submitted
91,2024-03-08,7.6,submitted
91,2024-03-09,7.6,submitted
91,2024-03-10,7.6,submitted
94,2024-03-01,7.6,submitted
94,2024-03-02,7.6,submitted
94,2024-03-03,7.6,submitted
94,2024-03-04,7.6,submitted
94,2024-03-05,7.6,submitted
