employee_id,leave_type,as_of_date,balance_units
E001,ANNUAL,2024-03-31,164
E002,ANNUAL,2024-03-31,96
E004,ANNUAL,2024-03-31,60
E005,ANNUAL,2024-03-31,120
E006,ANNUAL,2024-03-31,-4

E003,LSL,2024-03-31,0
E004,LSL,2024-03-31,10
E005,LSL,2024-03-31,-5

E012,ANNUAL,2024-03-31,650.0
E013,ANNUAL,2024-03-31,12.0
E014,ANNUAL,2024-03-31,38.0
E015,ANNUAL,2024-03-31,4.0
E016,ANNUAL,2024-03-31,20.0
E017,LSL,2024-03-31,12
E019,LSL,2024-03-31,40
E020,LSL,2024-03-31,5
E021,LSL,2024-02-29,20
E021,LSL,2024-03-31,30
E022,LSL,2024-02-29,50
E022,LSL,2024-03-31,50
E022,ANNUAL,2024-03-31,20.0
E025,LSL,2024-03-31,25
E040,LSL,2024-03-31,900.0
E041,LSL,2024-03-31,120.0
E041,LSL_PRO_RATA,2024-03-31,15.0
E042,LSL,2024-03-31,80.0
E042,LSL,2024-03-31,80.0
E043,LSL,2024-03-31,24.0
E044,LSL,2024-03-31,18.0
E045,LSL,2024-03-31,260.0
E047,LSL,2024-03-31,40.0
E048,LSL,2024-03-31,20.0
E049,LSL,2024-03-31,60.0
E050,LSL,2024-03-31,100.0
T007,LSL,2024-03-31,25
T009,LSL,2024-03-31,30
