employee_id,leave_type,event_date,units,event_type
E001,ANNUAL,2024-01-01,152,ACCRUAL
E001,ANNUAL,2024-02-01,10,ACCRUAL
E001,ANNUAL,2024-03-01,10,ACCRUAL
E001,ANNUAL,2024-03-15,-8,TAKEN

E002,ANNUAL,2024-01-01,80,ACCRUAL
E002,ANNUAL,2024-02-01,8,ACCRUAL
E002,ANNUAL,2024-03-01,8,ACCRUAL

E004,ANNUAL,2024-01-01,40,ACCRUAL
E004,ANNUAL,2024-02-01,8,ACCRUAL
E004,ANNUAL,2024-03-01,8,ACCRUAL
E004,ANNUAL,2024-03-20,-8,TAKEN
E005,ANNUAL,,-7.6,TAKEN

E006,ANNUAL,2024-03-10,8,TAKEN

E007,ANNUAL,2024-03-15,-8,TAKEN

E008,ANNUAL,2024-03-01,8,ACCRUAL

E009,ANNUAL,2024-03-01,-7.6,TAKEN
E010,ANNUAL,2024-02-15,7.6,ACCRUAL
E011,ANNUAL,2024-03-10,-8.0,TAKEN
E011,ANNUAL,2024-03-10,-8.0,TAKEN
E013,,2024-03-12,-4.0,TAKEN
E013,PERSONAL,,-7.6,TAKEN
E013,ANNUAL,2024-01-10,2.0,ADJUSTMENT
E013,ANNUAL,2024-01-17,1.5,ADJUSTMENT
E013,ANNUAL,2024-01-24,3.0,ADJUSTMENT
E013,ANNUAL,2024-01-31,2.5,ADJUSTMENT
E013,ANNUAL,2024-02-07,1.0,ADJUSTMENT
E013,ANNUAL,2024-02-14,4.0,ADJUSTMENT
E015,ANNUAL,2024-03-20,-8.0,TAKEN
E016,ANNUAL,2024-03-18,0.0,TAKEN

E020,ANNUAL,2024-03-10,-8.0,TAKEN
E021,ANNUAL,2024-03-11,-4.0,TAKE
